center: (375.0, 575.0), radius_x: 325.0, radius_y: 125.0, count: 600, B: 255.8009720578079, logLR = 203.6981674234325
center: (375.0, 575.0), radius_x: 325.0, radius_y: 175.0, count: 675, B: 358.1213608809311, logLR = 143.66040359053926
center: (375.0, 575.0), radius_x: 375.0, radius_y: 75.0, count: 425, B: 177.09298065540546, logLR = 141.7914495904159
center: (375.0, 575.0), radius_x: 375.0, radius_y: 125.0, count: 647, B: 295.1549677590091, logLR = 194.97526765068937
center: (375.0, 575.0), radius_x: 375.0, radius_y: 175.0, count: 723, B: 413.2169548626127, logLR = 127.04858167369827
center: (375.0, 625.0), radius_x: 325.0, radius_y: 175.0, count: 652, B: 358.1213608809311, logLR = 124.75464886580158
center: (375.0, 625.0), radius_x: 375.0, radius_y: 175.0, count: 727, B: 413.2169548626127, logLR = 130.17057858007757
center: (425.0, 375.0), radius_x: 225.0, radius_y: 275.0, count: 687, B: 389.6045574418919, logLR = 121.54055948280381
center: (425.0, 375.0), radius_x: 275.0, radius_y: 225.0, count: 694, B: 389.6045574418919, logLR = 126.99137422098812
center: (425.0, 425.0), radius_x: 175.0, radius_y: 175.0, count: 448, B: 192.83457893588593, logLR = 141.37543037365452
center: (425.0, 425.0), radius_x: 175.0, radius_y: 225.0, count: 531, B: 247.9301729175676, logLR = 145.51238936792612
center: (425.0, 425.0), radius_x: 175.0, radius_y: 275.0, count: 587, B: 303.0257668992493, logLR = 129.31612474960815
center: (425.0, 425.0), radius_x: 225.0, radius_y: 175.0, count: 558, B: 247.9301729175676, logLR = 171.74917331057645
center: (425.0, 425.0), radius_x: 225.0, radius_y: 225.0, count: 643, B: 318.76736517972984, logLR = 160.3797886288778
center: (425.0, 425.0), radius_x: 225.0, radius_y: 275.0, count: 709, B: 389.6045574418919, logLR = 139.03485316785117
center: (425.0, 425.0), radius_x: 275.0, radius_y: 175.0, count: 634, B: 303.0257668992493, logLR = 171.6054680933537
center: (425.0, 425.0), radius_x: 275.0, radius_y: 225.0, count: 700, B: 389.6045574418919, logLR = 131.74951120711557
center: (425.0, 425.0), radius_x: 325.0, radius_y: 175.0, count: 676, B: 358.1213608809311, logLR = 144.50935388619098
center: (425.0, 425.0), radius_x: 375.0, radius_y: 175.0, count: 716, B: 413.2169548626127, logLR = 121.66846645560844
center: (425.0, 475.0), radius_x: 125.0, radius_y: 75.0, count: 212, B: 59.030993551801814, logLR = 124.26088209409454
center: (425.0, 475.0), radius_x: 125.0, radius_y: 125.0, count: 304, B: 98.38498925300303, logLR = 148.8605477208611
center: (425.0, 475.0), radius_x: 125.0, radius_y: 175.0, count: 357, B: 137.73898495420423, logLR = 134.16091646243103
center: (425.0, 475.0), radius_x: 175.0, radius_y: 75.0, count: 287, B: 82.64339097252255, logLR = 164.22432081525565
center: (425.0, 475.0), radius_x: 175.0, radius_y: 125.0, count: 438, B: 137.73898495420423, logLR = 232.0227452210907
center: (425.0, 475.0), radius_x: 175.0, radius_y: 175.0, count: 494, B: 192.83457893588593, logLR = 190.11286234320414
center: (425.0, 475.0), radius_x: 175.0, radius_y: 225.0, count: 551, B: 247.9301729175676, logLR = 164.77091461554795
center: (425.0, 475.0), radius_x: 175.0, radius_y: 275.0, count: 598, B: 303.0257668992493, logLR = 138.74521526303835
center: (425.0, 475.0), radius_x: 225.0, radius_y: 75.0, count: 347, B: 106.25578839324326, logLR = 185.89084449477727
center: (425.0, 475.0), radius_x: 225.0, radius_y: 125.0, count: 533, B: 177.09298065540546, logLR = 268.5669368059175
center: (425.0, 475.0), radius_x: 225.0, radius_y: 175.0, count: 589, B: 247.9301729175676, logLR = 204.10364165678595
center: (425.0, 475.0), radius_x: 225.0, radius_y: 225.0, count: 651, B: 318.76736517972984, logLR = 167.77699391982736
center: (425.0, 475.0), radius_x: 225.0, radius_y: 275.0, count: 693, B: 389.6045574418919, logLR = 126.20605976920848
center: (425.0, 475.0), radius_x: 275.0, radius_y: 75.0, count: 381, B: 129.86818581396398, logLR = 176.57256272415515
center: (425.0, 475.0), radius_x: 275.0, radius_y: 125.0, count: 562, B: 216.44697635660665, logLR = 226.49176299083513
center: (425.0, 475.0), radius_x: 275.0, radius_y: 175.0, count: 624, B: 303.0257668992493, logLR = 162.17354818210572
center: (425.0, 475.0), radius_x: 275.0, radius_y: 225.0, count: 694, B: 389.6045574418919, logLR = 126.99137422098812
center: (425.0, 475.0), radius_x: 325.0, radius_y: 75.0, count: 412, B: 153.48058323468473, logLR = 167.28324267630887
center: (425.0, 475.0), radius_x: 325.0, radius_y: 125.0, count: 590, B: 255.8009720578079, logLR = 193.09821001417544
center: (425.0, 475.0), radius_x: 325.0, radius_y: 175.0, count: 665, B: 358.1213608809311, logLR = 135.2940694498086
center: (425.0, 475.0), radius_x: 375.0, radius_y: 75.0, count: 436, B: 177.09298065540546, logLR = 153.20568098533204
center: (425.0, 475.0), radius_x: 375.0, radius_y: 125.0, count: 630, B: 295.1549677590091, logLR = 178.04254733809455
center: (425.0, 475.0), radius_x: 375.0, radius_y: 175.0, count: 719, B: 413.2169548626127, logLR = 123.96121491439163
center: (425.0, 475.0), radius_x: 425.0, radius_y: 75.0, count: 461, B: 200.70537807612615, logLR = 142.82742858686544
center: (425.0, 475.0), radius_x: 425.0, radius_y: 125.0, count: 657, B: 334.5089634602103, logLR = 154.39123346828057
center: (425.0, 525.0), radius_x: 125.0, radius_y: 75.0, count: 289, B: 59.030993551801814, logLR = 243.2412860334043
center: (425.0, 525.0), radius_x: 125.0, radius_y: 125.0, count: 332, B: 98.38498925300303, logLR = 185.1307887440484
center: (425.0, 525.0), radius_x: 125.0, radius_y: 175.0, count: 371, B: 137.73898495420423, logLR = 149.57560919663885
center: (425.0, 525.0), radius_x: 175.0, radius_y: 75.0, count: 417, B: 82.64339097252255, logLR = 371.5408129002442
center: (425.0, 525.0), radius_x: 175.0, radius_y: 125.0, count: 466, B: 137.73898495420423, logLR = 270.4576859289819
center: (425.0, 525.0), radius_x: 175.0, radius_y: 175.0, count: 521, B: 192.83457893588593, logLR = 221.39282808272816
center: (425.0, 525.0), radius_x: 175.0, radius_y: 225.0, count: 557, B: 247.9301729175676, logLR = 170.7448047059006
center: (425.0, 525.0), radius_x: 175.0, radius_y: 275.0, count: 593, B: 303.0257668992493, logLR = 134.42331951838736
center: (425.0, 525.0), radius_x: 225.0, radius_y: 75.0, count: 487, B: 106.25578839324326, logLR = 401.73567468957077
center: (425.0, 525.0), radius_x: 225.0, radius_y: 125.0, count: 535, B: 177.09298065540546, logLR = 271.20936757775235
center: (425.0, 525.0), radius_x: 225.0, radius_y: 175.0, count: 588, B: 247.9301729175676, logLR = 203.02347944339488
center: (425.0, 525.0), radius_x: 225.0, radius_y: 225.0, count: 628, B: 318.76736517972984, logLR = 146.90591696956
center: (425.0, 525.0), radius_x: 225.0, radius_y: 275.0, count: 691, B: 389.6045574418919, logLR = 124.6420514510325
center: (425.0, 525.0), radius_x: 275.0, radius_y: 75.0, count: 506, B: 129.86818581396398, logLR = 352.6178531876864
center: (425.0, 525.0), radius_x: 275.0, radius_y: 125.0, count: 565, B: 216.44697635660665, logLR = 230.0102019190565
center: (425.0, 525.0), radius_x: 275.0, radius_y: 175.0, count: 630, B: 303.0257668992493, logLR = 167.80489636554609
center: (425.0, 525.0), radius_x: 275.0, radius_y: 225.0, count: 685, B: 389.6045574418919, logLR = 120.00310027036363
center: (425.0, 525.0), radius_x: 325.0, radius_y: 75.0, count: 527, B: 153.48058323468473, logLR = 317.1501624356445
center: (425.0, 525.0), radius_x: 325.0, radius_y: 125.0, count: 591, B: 255.8009720578079, logLR = 194.14743262817285
center: (425.0, 525.0), radius_x: 325.0, radius_y: 175.0, count: 671, B: 358.1213608809311, logLR = 140.28696370076239
center: (425.0, 525.0), radius_x: 375.0, radius_y: 75.0, count: 548, B: 177.09298065540546, logLR = 288.63276048879214
center: (425.0, 525.0), radius_x: 375.0, radius_y: 125.0, count: 629, B: 295.1549677590091, logLR = 177.06725196635955
center: (425.0, 525.0), radius_x: 375.0, radius_y: 175.0, count: 716, B: 413.2169548626127, logLR = 121.66846645560844
center: (425.0, 525.0), radius_x: 425.0, radius_y: 75.0, count: 571, B: 200.70537807612615, logLR = 267.66607236503336
center: (425.0, 525.0), radius_x: 425.0, radius_y: 125.0, count: 653, B: 334.5089634602103, logLR = 150.85016143891926
center: (425.0, 575.0), radius_x: 125.0, radius_y: 125.0, count: 303, B: 98.38498925300303, logLR = 147.62010898855593
center: (425.0, 575.0), radius_x: 125.0, radius_y: 175.0, count: 346, B: 137.73898495420423, logLR = 122.51711614150312
center: (425.0, 575.0), radius_x: 175.0, radius_y: 75.0, count: 281, B: 82.64339097252255, logLR = 156.1531840139411
center: (425.0, 575.0), radius_x: 175.0, radius_y: 125.0, count: 433, B: 137.73898495420423, logLR = 225.3975039644116
center: (425.0, 575.0), radius_x: 175.0, radius_y: 175.0, count: 493, B: 192.83457893588593, logLR = 188.99153259076206
center: (425.0, 575.0), radius_x: 175.0, radius_y: 225.0, count: 543, B: 247.9301729175676, logLR = 156.9460370479182
center: (425.0, 575.0), radius_x: 175.0, radius_y: 275.0, count: 592, B: 303.0257668992493, logLR = 133.56611774180152
center: (425.0, 575.0), radius_x: 225.0, radius_y: 75.0, count: 339, B: 106.25578839324326, logLR = 175.44939886693174
center: (425.0, 575.0), radius_x: 225.0, radius_y: 125.0, count: 527, B: 177.09298065540546, logLR = 260.70109777536476
center: (425.0, 575.0), radius_x: 225.0, radius_y: 175.0, count: 580, B: 247.9301729175676, logLR = 194.46905073956384
center: (425.0, 575.0), radius_x: 225.0, radius_y: 225.0, count: 639, B: 318.76736517972984, logLR = 156.73609877876953
center: (425.0, 575.0), radius_x: 225.0, radius_y: 275.0, count: 687, B: 389.6045574418919, logLR = 121.54055948280381
center: (425.0, 575.0), radius_x: 275.0, radius_y: 75.0, count: 386, B: 129.86818581396398, logLR = 182.71409918284047
center: (425.0, 575.0), radius_x: 275.0, radius_y: 125.0, count: 563, B: 216.44697635660665, logLR = 227.66210621144285
center: (425.0, 575.0), radius_x: 275.0, radius_y: 175.0, count: 624, B: 303.0257668992493, logLR = 162.17354818210572
center: (425.0, 575.0), radius_x: 275.0, radius_y: 225.0, count: 691, B: 389.6045574418919, logLR = 124.6420514510325
center: (425.0, 575.0), radius_x: 325.0, radius_y: 75.0, count: 414, B: 153.48058323468473, logLR = 169.56537153773255
center: (425.0, 575.0), radius_x: 325.0, radius_y: 125.0, count: 606, B: 255.8009720578079, logLR = 210.17250258992112
center: (425.0, 575.0), radius_x: 325.0, radius_y: 175.0, count: 673, B: 358.1213608809311, logLR = 141.9692081131094
center: (425.0, 575.0), radius_x: 375.0, radius_y: 75.0, count: 437, B: 177.09298065540546, logLR = 154.26102727888676
center: (425.0, 575.0), radius_x: 375.0, radius_y: 125.0, count: 632, B: 295.1549677590091, logLR = 180.00008300019562
center: (425.0, 575.0), radius_x: 375.0, radius_y: 175.0, count: 723, B: 413.2169548626127, logLR = 127.04858167369827
center: (425.0, 575.0), radius_x: 425.0, radius_y: 75.0, count: 470, B: 200.70537807612615, logLR = 151.82889395830327
center: (425.0, 575.0), radius_x: 425.0, radius_y: 125.0, count: 673, B: 334.5089634602103, logLR = 168.9168156596519
center: (425.0, 625.0), radius_x: 175.0, radius_y: 175.0, count: 443, B: 192.83457893588593, logLR = 136.43695051041692
center: (425.0, 625.0), radius_x: 175.0, radius_y: 225.0, count: 514, B: 247.9301729175676, logLR = 129.94773343817135
center: (425.0, 625.0), radius_x: 225.0, radius_y: 175.0, count: 548, B: 247.9301729175676, logLR = 161.81773031654825
center: (425.0, 625.0), radius_x: 225.0, radius_y: 225.0, count: 638, B: 318.76736517972984, logLR = 155.8309167678001
center: (425.0, 625.0), radius_x: 225.0, radius_y: 275.0, count: 703, B: 389.6045574418919, logLR = 134.1582459253998
center: (425.0, 625.0), radius_x: 275.0, radius_y: 175.0, count: 629, B: 303.0257668992493, logLR = 166.86053756889282
center: (425.0, 625.0), radius_x: 275.0, radius_y: 225.0, count: 692, B: 389.6045574418919, logLR = 125.42295167822618
center: (425.0, 625.0), radius_x: 325.0, radius_y: 175.0, count: 680, B: 358.1213608809311, logLR = 147.92746763825062
center: (425.0, 625.0), radius_x: 375.0, radius_y: 175.0, count: 733, B: 413.2169548626127, logLR = 134.91832525954771
center: (475.0, 325.0), radius_x: 125.0, radius_y: 325.0, count: 527, B: 255.80097205780788, logLR = 131.94699418868532
center: (475.0, 325.0), radius_x: 175.0, radius_y: 275.0, count: 582, B: 303.0257668992493, logLR = 125.12637711417915
center: (475.0, 325.0), radius_x: 175.0, radius_y: 325.0, count: 662, B: 358.12136088093104, logLR = 132.82799000680552
center: (475.0, 325.0), radius_x: 225.0, radius_y: 275.0, count: 687, B: 389.6045574418919, logLR = 121.54055948280381
center: (475.0, 375.0), radius_x: 75.0, radius_y: 225.0, count: 302, B: 106.25578839324326, logLR = 130.1852514245607
center: (475.0, 375.0), radius_x: 75.0, radius_y: 275.0, count: 336, B: 129.86818581396398, logLR = 125.04945216860708
center: (475.0, 375.0), radius_x: 125.0, radius_y: 225.0, count: 448, B: 177.09298065540546, logLR = 166.06196427340305
center: (475.0, 375.0), radius_x: 125.0, radius_y: 275.0, count: 500, B: 216.44697635660665, logLR = 158.8753208601624
center: (475.0, 375.0), radius_x: 125.0, radius_y: 325.0, count: 549, B: 255.80097205780788, logLR = 152.1772546270539
center: (475.0, 375.0), radius_x: 125.0, radius_y: 375.0, count: 594, B: 295.1549677590091, logLR = 144.40685112593752
center: (475.0, 375.0), radius_x: 175.0, radius_y: 225.0, count: 561, B: 247.9301729175676, logLR = 174.77717317338607
center: (475.0, 375.0), radius_x: 175.0, radius_y: 275.0, count: 630, B: 303.0257668992493, logLR = 167.80489636554609
center: (475.0, 375.0), radius_x: 175.0, radius_y: 325.0, count: 676, B: 358.12136088093104, logLR = 144.50935388619098
center: (475.0, 375.0), radius_x: 175.0, radius_y: 375.0, count: 714, B: 413.2169548626127, logLR = 120.15083350097382
center: (475.0, 375.0), radius_x: 225.0, radius_y: 225.0, count: 642, B: 318.76736517972984, logLR = 159.46542569328665
center: (475.0, 375.0), radius_x: 225.0, radius_y: 275.0, count: 698, B: 389.6045574418919, logLR = 130.15466581719397
center: (475.0, 375.0), radius_x: 275.0, radius_y: 225.0, count: 705, B: 389.6045574418919, logLR = 135.77503000597034
center: (475.0, 425.0), radius_x: 75.0, radius_y: 175.0, count: 298, B: 82.64339097252255, logLR = 179.39989634788168
center: (475.0, 425.0), radius_x: 75.0, radius_y: 225.0, count: 327, B: 106.25578839324326, logLR = 160.21472135070178
center: (475.0, 425.0), radius_x: 75.0, radius_y: 275.0, count: 356, B: 129.86818581396398, logLR = 147.09722556442833
center: (475.0, 425.0), radius_x: 75.0, radius_y: 325.0, count: 381, B: 153.48058323468473, logLR = 133.5015938565532
